Title,Author,Genre
Ang Iwasan,Moira Dela Torre,Love
Ikaw Pa Rin,Moira Dela Torre,Love
Sabi Ng Lola,Moira Dela Torre,Love
E.D.S.A. – Emosyong Dinaan Sa Awit,Moira Dela Torre,Love
Hanggang Sa Huli,Moira Dela Torre,Love
Unbreakable,Moira Dela Torre,Love
I’m Okay,Moira Dela Torre,Love
Where It All Started,Moira Dela Torre,Love
Under The Bathroom Sink,Moira Dela Torre,Love
Bandaid,Moira Dela Torre,Love
Red Flags,Moira Dela Torre,Love
Umpisa,Moira Dela Torre,Love
Ghosts,Moira Dela Torre,Love
San Ka Na,Moira Dela Torre,Love
Delusional,Moira Dela Torre,Love
Gaslighter,Moira Dela Torre,Love
Wonder,Moira Dela Torre,Love
Dinggin,Moira Dela Torre,Love
Ikaw at Sila,Moira Dela Torre,Love
Buwan Tala,Ben&Ben,Pop
Gabi Araw,Ben&Ben,Indie
Haplos Damdamin,Ben&Ben,Pop
Tingin Kuwento,Ben&Ben,Indie
Pintig Kulay,Ben&Ben,Pop
Lakad Sulyap,Ben&Ben,Pop
Himig Sana,Ben&Ben,Pop
Hangin Sinta,Ben&Ben,Pop
Lihim Pag-ibig,Ben&Ben,Sad
Tamis Layo,Ben&Ben,Pop
Balik Alaala,Zack Tabudlo,Love
Bitaw Saan,Zack Tabudlo,Love
Tayo Nawala,Zack Tabudlo,Love
Sabay Alon,Zack Tabudlo,Love
Talao Sulyap,Zack Tabudlo,Love
Sigaw Tahimik,Zack Tabudlo,Love
Lapis Kulay,Zack Tabudlo,Love
Tulay Takipsilim,Zack Tabudlo,Love
Sulyap Sigaw (Acoustic),Zack Tabudlo,Love
Buwan Gabi,December Avenue,Pop
Tala Araw,December Avenue,Pop
Haplos Damdamin,December Avenue,Pop
Tingin Kuwento,December Avenue,Pop
Pintig Kulay,December Avenue,Pop
Lakad Sulyap,December Avenue,Pop
Himig Sana,December Avenue,Pop
Hangin Sinta,December Avenue,Pop
Lihim Pag-ibig,December Avenue,Love
Sana Tayo,December Avenue,Love
Tamis Layo,Juan Karlos,Pop
Balik Alaala,Juan Karlos,Pop
Bitaw Saan,Juan Karlos,Pop
Tayo Nawala,Juan Karlos,Pop
Sabay Alon,Juan Karlos,Pop
Talao Sulyap,Juan Karlos,Pop
Sigaw Tahimik,Juan Karlos,Pop
Lapis Kulay,Juan Karlos,Pop
Tulay Takipsilim,Juan Karlos,Pop
Sulyap Sigaw,SB19,Pop
Buwan Gabi,SB19,Pop
Tala Araw,SB19,Pop
Haplos Damdamin,SB19,Pop
Tingin Kuwento,SB19,Pop
Pintig Kulay,SB19,Pop
Lakad Sulyap,SB19,Pop
Himig Sana,SB19,Pop
Hangin Sinta,SB19,Pop
Lihim Pag-ibig,SB19,Pop
Tamis Layo,Lola Amour,Pop
Balik Alaala,Lola Amour,Pop
Bitaw Saan,Lola Amour,Pop
Tayo Nawala,Lola Amour,Love
Sabay Alon,Lola Amour,Pop
Talao Sulyap,Lola Amour,Pop
Sigaw Tahimik,Lola Amour,Pop
Lapis Kulay,Lola Amour,Pop
Tulay Takipsilim,Lola Amour,Pop
Sulyap Sigaw,Al James,Pop
Buwan Gabi,Al James,Pop
Tala Araw,Al James,Pop
Haplos Damdamin,Al James,Pop
Tingin Kuwento,Al James,Pop
Pintig Kulay,Al James,Pop
Lakad Sulyap,Al James,Pop
Himig Sana,Al James,Pop
Hangin Sinta,Al James,Pop
Lihim Pag-ibig,Al James,Love
Tamis Layo,Unique Salonga,Pop
Balik Alaala,Unique Salonga,Pop
Bitaw Saan,Unique Salonga,Pop
Tayo Nawala,Unique Salonga,Love
Sabay Alon,Unique Salonga,Pop
Talao Sulyap,Unique Salonga,Pop
Sigaw Tahimik,Unique Salonga,Pop
Lapis Kulay,Unique Salonga,Pop
Tulay Takipsilim,Unique Salonga,Pop
Sulyap Sigaw,IV of Spades,Pop
Buwan Gabi,IV of Spades,Pop
Tala Araw,IV of Spades,Pop
Haplos Damdamin,IV of Spades,Pop
Tingin Kuwento,IV of Spades,Pop
Pintig Kulay,IV of Spades,Pop
Lakad Sulyap,IV of Spades,Pop
Himig Sana,IV of Spades,Pop
Hangin Sinta,IV of Spades,Pop
Lihim Pag-ibig,IV of Spades,Love
Tamis Layo,Autotelic,Pop
Balik Alaala,Autotelic,Pop
Bitaw Saan,Autotelic,Pop
Tayo Nawala,Autotelic,Pop
Sabay Alon,Autotelic,Pop
Talao Sulyap,Autotelic,Pop
Sigaw Tahimik,Autotelic,Pop
Lapis Kulay,Autotelic,Pop
Tulay Takipsilim,Autotelic,Pop
Sulyap Sigaw,Leanne & Naara,Pop
Buwan Gabi,Leanne & Naara,Pop
Tala Araw,Leanne & Naara,Pop
Haplos Damdamin,Leanne & Naara,Pop
Tingin Kuwento,Leanne & Naara,Pop
Pintig Kulay,Leanne & Naara,Pop
Lakad Sulyap,Leanne & Naara,Pop
Himig Sana,Leanne & Naara,Pop
Hangin Sinta,Leanne & Naara,Pop
Lihim Pag-ibig,Leanne & Naara,Love
Tamis Layo,The Juans,Pop
Balik Alaala,The Juans,Pop
Bitaw Saan,The Juans,Pop
Tayo Nawala,The Juans,Love
Sabay Alon,The Juans,Pop
Talao Sulyap,The Juans,Pop
Sigaw Tahimik,The Juans,Pop
Lapis Kulay,The Juans,Pop
Tulay Takipsilim,The Juans,Pop
Sulyap Sigaw,Janine Teñoso,Pop
Buwan Gabi,Janine Teñoso,Pop
Tala Araw,Janine Teñoso,Pop
Haplos Damdamin,Janine Teñoso,Pop
Tingin Kuwento,Janine Teñoso,Pop
Pintig Kulay,Janine Teñoso,Pop
Lakad Sulyap,Janine Teñoso,Pop
Himig Sana,Janine Teñoso,Pop
Hangin Sinta,Janine Teñoso,Pop
Lihim Pag-ibig,Janine Teñoso,Love
Tamis Layo,Clara Benin,Pop
Balik Alaala,Clara Benin,Pop
Bitaw Saan,Clara Benin,Pop
Tayo Nawala,Clara Benin,Love
Sabay Alon,Clara Benin,Pop
Talao Sulyap,Clara Benin,Pop
Sigaw Tahimik,Clara Benin,Pop
Lapis Kulay,Clara Benin,Pop
Tulay Takipsilim,Clara Benin,Pop
Sulyap Sigaw,Reese Lansangan,Pop
Buwan Gabi,Reese Lansangan,Pop
Tala Araw,Reese Lansangan,Pop
Haplos Damdamin,Reese Lansangan,Pop
Tingin Kuwento,Reese Lansangan,Pop
Pintig Kulay,Reese Lansangan,Pop
Lakad Sulyap,Reese Lansangan,Pop
Himig Sana,Reese Lansangan,Pop
Hangin Sinta,Reese Lansangan,Pop
Lihim Pag-ibig,Reese Lansangan,Love
Tamis Layo,Shanti Dope,Rap
Balik Alaala,Shanti Dope,Rap
Bitaw Saan,Shanti Dope,Rap
Tayo Nawala,Shanti Dope,Rap
Sabay Alon,Shanti Dope,Rap
Talao Sulyap,Shanti Dope,Rap
Sigaw Tahimik,Shanti Dope,Rap
Lapis Kulay,Shanti Dope,Rap
Tulay Takipsilim,Shanti Dope,Rap
Sulyap Sigaw,KZ Tandingan,Pop
Buwan Gabi,KZ Tandingan,Pop
Tala Araw,KZ Tandingan,Pop
Haplos Damdamin,KZ Tandingan,Pop
Tingin Kuwento,KZ Tandingan,Pop
Pintig Kulay,KZ Tandingan,Pop
Lakad Sulyap,KZ Tandingan,Pop
Himig Sana,KZ Tandingan,Pop
Hangin Sinta,KZ Tandingan,Pop
Lihim Pag-ibig,KZ Tandingan,Love
Tamis Layo,Gloc-9,Rap
Balik Alaala,Gloc-9,Rap
Bitaw Saan,Gloc-9,Rap
Tayo Nawala,Gloc-9,Rap
Sabay Alon,Gloc-9,Rap
Talao Sulyap,Gloc-9,Rap
Sigaw Tahimik,Gloc-9,Rap
Lapis Kulay,Gloc-9,Rap
Tulay Takipsilim,Gloc-9,Rap
Sulyap Sigaw,Munimuni,Pop
Buwan Gabi,Munimuni,Pop
Tala Araw,Munimuni,Pop
Haplos Damdamin,Munimuni,Pop
Tingin Kuwento,Munimuni,Pop
Pintig Kulay,Munimuni,Pop
Lakad Sulyap,Munimuni,Pop
Himig Sana,Munimuni,Pop
Hangin Sinta,Munimuni,Pop
Lihim Pag-ibig,Munimuni,Love
Tamis Layo,SunKissed Lola,Pop
Balik Alaala,SunKissed Lola,Pop
Bitaw Saan,SunKissed Lola,Pop
Tayo Nawala,SunKissed Lola,Love
Sabay Alon,SunKissed Lola,Pop
Talao Sulyap,SunKissed Lola,Pop
Sigaw Tahimik,SunKissed Lola,Pop
Lapis Kulay,SunKissed Lola,Pop
Tulay Takipsilim,SunKissed Lola,Pop
Sulyap Sigaw,Moonsong,Pop
Buwan Gabi,Moonsong,Pop
Tala Araw,Moonsong,Pop
Haplos Damdamin,Moonsong,Pop
Tingin Kuwento,Moonsong,Pop
Pintig Kulay,Moonsong,Pop
Lakad Sulyap,Moonsong,Pop
Himig Sana,Moonsong,Pop
Hangin Sinta,Moonsong,Pop
Lihim Pag-ibig,Moonsong,Love
Tamis Layo,Cueshe,Pop
Balik Alaala,Cueshe,Pop
Bitaw Saan,Cueshe,Pop
Tayo Nawala,Cueshe,Love
Sabay Alon,Cueshe,Pop
Talao Sulyap,Cueshe,Pop
Sigaw Tahimik,Cueshe,Pop
Lapis Kulay,Cueshe,Pop
Tulay Takipsilim,Cueshe,Pop
Sulyap Sigaw,Up Dharma Down,Pop
Buwan Gabi,Up Dharma Down,Pop
Tala Araw,Up Dharma Down,Pop
Haplos Damdamin,Up Dharma Down,Pop
Tingin Kuwento,Up Dharma Down,Pop
Pintig Kulay,Up Dharma Down,Pop
Lakad Sulyap,Up Dharma Down,Pop
Himig Sana,Up Dharma Down,Pop
Hangin Sinta,Up Dharma Down,Pop
Lihim Pag-ibig,Up Dharma Down,Love
Tamis Layo,Sam Mangubat,Pop
Balik Alaala,Sam Mangubat,Pop
Bitaw Saan,Sam Mangubat,Pop
Tayo Nawala,Sam Mangubat,Love
Sabay Alon,Sam Mangubat,Pop
Talao Sulyap,Sam Mangubat,Pop
Sigaw Tahimik,Sam Mangubat,Pop
Lapis Kulay,Sam Mangubat,Pop
Tulay Takipsilim,Sam Mangubat,Pop
Sulyap Sigaw,Aegis,Pop
Buwan Gabi,Aegis,Pop
Tala Araw,Aegis,Pop
Haplos Damdamin,Aegis,Pop
Tingin Kuwento,Aegis,Pop
Pintig Kulay,Aegis,Pop
Lakad Sulyap,Aegis,Pop
Himig Sana,Aegis,Pop
Hangin Sinta,Aegis,Pop
Lihim Pag-ibig,Aegis,Love
Tamis Layo,Agsunta,Pop
Balik Alaala,Agsunta,Pop
Bitaw Saan,Agsunta,Pop
Tayo Nawala,Agsunta,Love
Sabay Alon,Agsunta,Pop
Talao Sulyap,Agsunta,Pop
Sigaw Tahimik,Agsunta,Pop
Lapis Kulay,Agsunta,Pop
Tulay Takipsilim,Agsunta,Pop
Sulyap Sigaw,Gyro,Pop
Buwan Gabi,Gyro,Pop
Tala Araw,Gyro,Pop
Haplos Damdamin,Gyro,Pop
Tingin Kuwento,Gyro,Pop
Pintig Kulay,Gyro,Pop
Lakad Sulyap,Gyro,Pop
Himig Sana,Gyro,Pop
Hangin Sinta,Gyro,Pop
Lihim Pag-ibig,Gyro,Love
Tamis Layo,Neocolours,Pop
Balik Alaala,Neocolours,Pop
Bitaw Saan,Neocolours,Pop
Tayo Nawala,Neocolours,Love
Sabay Alon,Neocolours,Pop
Talao Sulyap,Neocolours,Pop
Sigaw Tahimik,Neocolours,Pop
Lapis Kulay,Neocolours,Pop
Tulay Takipsilim,Neocolours,Pop
Sulyap Sigaw,Sponge Cola,Rock
Buwan Gabi,Sponge Cola,Rock
Tala Araw,Sponge Cola,Rock
Haplos Damdamin,Sponge Cola,Rock
Tingin Kuwento,Sponge Cola,Rock
Pintig Kulay,Sponge Cola,Rock
Lakad Sulyap,Sponge Cola,Rock
Himig Sana,Sponge Cola,Rock
Hangin Sinta,Sponge Cola,Rock
Lihim Pag-ibig,Sponge Cola,Rock
Tamis Layo,Ebe Dancel,Pop
Balik Alaala,Ebe Dancel,Pop
Bitaw Saan,Ebe Dancel,Pop
Tayo Nawala,Ebe Dancel,Love
Sabay Alon,Ebe Dancel,Pop
Talao Sulyap,Ebe Dancel,Pop
Sigaw Tahimik,Ebe Dancel,Pop
Lapis Kulay,Ebe Dancel,Pop
Tulay Takipsilim,Ebe Dancel,Pop
Sulyap Sigaw,Levi's Band,Pop
Buwan Gabi,Levi's Band,Pop
Tala Araw,Levi's Band,Pop
Haplos Damdamin,Levi's Band,Pop
Tingin Kuwento,Levi's Band,Pop
Pintig Kulay,Levi's Band,Pop
Lakad Sulyap,Levi's Band,Pop
Himig Sana,Levi's Band,Pop
Hangin Sinta,Levi's Band,Pop
Lihim Pag-ibig,Levi's Band,Love
Tamis Layo,Morissette,Pop
Balik Alaala,Morissette,Pop
Bitaw Saan,Morissette,Pop
Tayo Nawala,Morissette,Love
Sabay Alon,Morissette,Pop
Talao Sulyap,Morissette,Pop
Sigaw Tahimik,Morissette,Pop
Lapis Kulay,Morissette,Pop
